Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
W^0,e,3,H^+ B,vvl,W^0 -- (v) -- H^+ -- (v) -- B -- (l) -- e, 1l + 2v,"{'jjl', 'lE', 'lll', 'bbl', 'TTl', 'vvl', 'ttl'}","['lE', 'jjl', 'bbl', 'ttl', 'vvl', 'lll', 'TTl']","[1, 1, 1, 1, 1, 1, 1]","['lE', '(JJ)l', 'vvl', '(LL)l']"
W^0,e,3,H^0 B,vvl,W^0 -- (v) -- H^0 -- (v) -- B -- (l) -- e, 1l + 2v,"{'jjl', 'lE', 'lll', 'bbl', 'TTl', 'vvl', 'ttl'}","['lE', 'jjl', 'bbl', 'ttl', 'vvl', 'lll', 'TTl']","[1, 1, 1, 1, 1, 1, 1]","['lE', '(JJ)l', 'vvl', '(LL)l']"
W^0,e,3,q B,jjl,W^0 -- (j) -- q -- (j) -- B -- (l) -- e, 2j_l + 1l,"{'jjl', 'lE', 'lll', 'bbl', 'TTl', 'vvl', 'ttl'}","['lE', 'jjl', 'bbl', 'ttl', 'vvl', 'lll', 'TTl']","[1, 1, 1, 1, 1, 1, 1]","['lE', '(JJ)l', 'vvl', '(LL)l']"
W^0,e,3,l B,lll,W^0 -- (l) -- l -- (l) -- B -- (l) -- e, 3l,"{'jjl', 'lE', 'lll', 'bbl', 'TTl', 'vvl', 'ttl'}","['lE', 'jjl', 'bbl', 'ttl', 'vvl', 'lll', 'TTl']","[1, 1, 1, 1, 1, 1, 1]","['lE', '(JJ)l', 'vvl', '(LL)l']"
W^0,e,3,nu B,lE,W^0 -- (E) -- nu -- (E) -- B -- (l) -- e, 1l + MET,"{'jjl', 'lE', 'lll', 'bbl', 'TTl', 'vvl', 'ttl'}","['lE', 'jjl', 'bbl', 'ttl', 'vvl', 'lll', 'TTl']","[1, 1, 1, 1, 1, 1, 1]","['lE', '(JJ)l', 'vvl', '(LL)l']"
W^0,e,3,b_L B,bbl,W^0 -- (b) -- b_L -- (b) -- B -- (l) -- e, 2b + 1l,"{'jjl', 'lE', 'lll', 'bbl', 'TTl', 'vvl', 'ttl'}","['lE', 'jjl', 'bbl', 'ttl', 'vvl', 'lll', 'TTl']","[1, 1, 1, 1, 1, 1, 1]","['lE', '(JJ)l', 'vvl', '(LL)l']"
W^0,e,3,t_L B,ttl,W^0 -- (t) -- t_L -- (t) -- B -- (l) -- e, 2t + 1l,"{'jjl', 'lE', 'lll', 'bbl', 'TTl', 'vvl', 'ttl'}","['lE', 'jjl', 'bbl', 'ttl', 'vvl', 'lll', 'TTl']","[1, 1, 1, 1, 1, 1, 1]","['lE', '(JJ)l', 'vvl', '(LL)l']"
W^0,e,3,tau_L B,TTl,W^0 -- (T) -- tau_L -- (T) -- B -- (l) -- e, 1l + 2tau,"{'jjl', 'lE', 'lll', 'bbl', 'TTl', 'vvl', 'ttl'}","['lE', 'jjl', 'bbl', 'ttl', 'vvl', 'lll', 'TTl']","[1, 1, 1, 1, 1, 1, 1]","['lE', '(JJ)l', 'vvl', '(LL)l']"
W^0,e,3,nu_tau B,lE,W^0 -- (E) -- nu_tau -- (E) -- B -- (l) -- e, 1l + MET,"{'jjl', 'lE', 'lll', 'bbl', 'TTl', 'vvl', 'ttl'}","['lE', 'jjl', 'bbl', 'ttl', 'vvl', 'lll', 'TTl']","[1, 1, 1, 1, 1, 1, 1]","['lE', '(JJ)l', 'vvl', '(LL)l']"
W^0,b_L,1,-,b,W^0 -- (b) -- b_L, 1b,{'b'},['b'],[1],['b']
W^0,t_L,1,-,t,W^0 -- (t) -- t_L, 1t,{'t'},['t'],[1],['t']
W^0,t,2,H^+,vb,W^0 -- (v) -- H^+ -- (b) -- t, 1b + 1v,"{'vb', 'vt'}",['v3'],[2],['v3']
W^0,t,2,H^0,vt,W^0 -- (v) -- H^0 -- (t) -- t, 1t + 1v,"{'vb', 'vt'}",['v3'],[2],['v3']
W^0,b,2,H^+,vt,W^0 -- (v) -- H^+ -- (t) -- b, 1t + 1v,"{'vb', 'vt'}",['v3'],[2],['v3']
W^0,b,2,H^0,vb,W^0 -- (v) -- H^0 -- (b) -- b, 1b + 1v,"{'vb', 'vt'}",['v3'],[2],['v3']
W^0,tau_L,1,-,T,W^0 -- (T) -- tau_L, 1tau,{'T'},['T'],[1],['T']
W^0,nu_tau,1,-,E,W^0 -- (E) -- nu_tau, MET,{'E'},['E'],[1],['E']
W^0,tau,3,H^+ B,vvT,W^0 -- (v) -- H^+ -- (v) -- B -- (T) -- tau, 1tau + 2v,"{'ttT', 'Tll', 'jjT', 'vvT', 'bbT', 'TTT', 'TE'}","['TE', 'ttT', 'jjT', 'bbT', 'vvT', 'Tll', 'TTT']","[1, 1, 1, 1, 1, 1, 1]","['TE', '(JJ)T', 'vvT', '(LL)T']"
W^0,tau,3,H^0 B,vvT,W^0 -- (v) -- H^0 -- (v) -- B -- (T) -- tau, 1tau + 2v,"{'ttT', 'Tll', 'jjT', 'vvT', 'bbT', 'TTT', 'TE'}","['TE', 'ttT', 'jjT', 'bbT', 'vvT', 'Tll', 'TTT']","[1, 1, 1, 1, 1, 1, 1]","['TE', '(JJ)T', 'vvT', '(LL)T']"
W^0,tau,3,q B,jjT,W^0 -- (j) -- q -- (j) -- B -- (T) -- tau, 2j_l + 1tau,"{'ttT', 'Tll', 'jjT', 'vvT', 'bbT', 'TTT', 'TE'}","['TE', 'ttT', 'jjT', 'bbT', 'vvT', 'Tll', 'TTT']","[1, 1, 1, 1, 1, 1, 1]","['TE', '(JJ)T', 'vvT', '(LL)T']"
