Mother,Daughter,Nvertex,Intermediate,Signatures,Chain,Signatures (Easy-Read),All Possible Signature,Minimal Set,Minimal Set (number of elements),Minimal Set (same flavour)
nu,l,2,B,lX,nu -- (X) -- B -- (l) -- l, 1l + MET,{'lX'},['lX'],[1],['lX']
nu,l,2,W^+,lX,nu -- (l) -- W^+ -- (X) -- l, 1l + MET,{'lX'},['lX'],[1],['lX']
nu,l,2,W^0,lX,nu -- (X) -- W^0 -- (l) -- l, 1l + MET,{'lX'},['lX'],[1],['lX']
nu,e,2,B,lX,nu -- (X) -- B -- (l) -- e, 1l + MET,{'lX'},['lX'],[1],['lX']
nu,b_L,2,B,bX,nu -- (X) -- B -- (b) -- b_L, 1b + MET,"{'bX', 'tl'}","['tl', 'bX']","[1, 1]","['tl', 'bX']"
nu,b_L,2,W^+,tl,nu -- (l) -- W^+ -- (t) -- b_L, 1t + 1l,"{'bX', 'tl'}","['tl', 'bX']","[1, 1]","['tl', 'bX']"
nu,b_L,2,W^0,bX,nu -- (X) -- W^0 -- (b) -- b_L, 1b + MET,"{'bX', 'tl'}","['tl', 'bX']","[1, 1]","['tl', 'bX']"
nu,t_L,2,B,tX,nu -- (X) -- B -- (t) -- t_L, 1t + MET,"{'tX', 'bl'}","['bl', 'tX']","[1, 1]","['bl', 'tX']"
nu,t_L,2,W^+,bl,nu -- (l) -- W^+ -- (b) -- t_L, 1b + 1l,"{'tX', 'bl'}","['bl', 'tX']","[1, 1]","['bl', 'tX']"
nu,t_L,2,W^0,tX,nu -- (X) -- W^0 -- (t) -- t_L, 1t + MET,"{'tX', 'bl'}","['bl', 'tX']","[1, 1]","['bl', 'tX']"
nu,t,2,B,tX,nu -- (X) -- B -- (t) -- t, 1t + MET,{'tX'},['tX'],[1],['tX']
nu,b,2,B,bX,nu -- (X) -- B -- (b) -- b, 1b + MET,{'bX'},['bX'],[1],['bX']
nu,tau_L,2,B,TX,nu -- (X) -- B -- (T) -- tau_L, 1tau + MET,"{'lX', 'TX'}",['LX'],[2],['LX']
nu,tau_L,2,W^+,lX,nu -- (l) -- W^+ -- (X) -- tau_L, 1l + MET,"{'lX', 'TX'}",['LX'],[2],['LX']
nu,tau_L,2,W^0,TX,nu -- (X) -- W^0 -- (T) -- tau_L, 1tau + MET,"{'lX', 'TX'}",['LX'],[2],['LX']
nu,nu_tau,2,B,X,nu -- (X) -- B -- (X) -- nu_tau, MET,"{'X', 'Tl'}","['Tl', 'X']","[1, 1]","['Tl', 'X']"
nu,nu_tau,2,W^+,Tl,nu -- (l) -- W^+ -- (T) -- nu_tau, 1l + 1tau,"{'X', 'Tl'}","['Tl', 'X']","[1, 1]","['Tl', 'X']"
nu,nu_tau,2,W^0,X,nu -- (X) -- W^0 -- (X) -- nu_tau, MET,"{'X', 'Tl'}","['Tl', 'X']","[1, 1]","['Tl', 'X']"
nu,tau,2,B,TX,nu -- (X) -- B -- (T) -- tau, 1tau + MET,{'TX'},['TX'],[1],['TX']
